location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,age,monthly,ew,-1,502,8,1926-03-31,-0.066166982
usa,age,monthly,ew,-1,505,12,1926-04-30,0.010546324
usa,age,monthly,ew,-1,510,17,1926-05-31,-0.020291847
usa,age,monthly,ew,-1,512,21,1926-06-30,-0.008927255
usa,age,monthly,ew,-1,503,23,1926-07-31,0.01772357
usa,age,monthly,ew,-1,509,28,1926-08-31,0.006636675
usa,age,monthly,ew,-1,521,30,1926-09-30,0.010407737
usa,age,monthly,ew,-1,518,29,1926-10-31,-0.025141543
usa,age,monthly,ew,-1,523,34,1926-11-30,-0.020352908
usa,age,monthly,ew,-1,527,37,1926-12-31,0.009599187
usa,age,monthly,ew,-1,530,40,1927-01-31,-0.006184145
usa,age,monthly,ew,-1,534,43,1927-02-28,-0.019523101
usa,age,monthly,ew,-1,534,46,1927-03-31,0.001390086
usa,age,monthly,ew,-1,537,49,1927-04-30,-0.017551294
usa,age,monthly,ew,-1,538,49,1927-05-31,-0.021631116
usa,age,monthly,ew,-1,545,56,1927-06-30,0.007163917
usa,age,monthly,ew,-1,548,61,1927-07-31,-0.021320241
usa,age,monthly,ew,-1,546,63,1927-08-31,0.005199281
usa,age,monthly,ew,-1,553,67,1927-09-30,0.011675206
usa,age,monthly,ew,-1,566,80,1927-10-31,0.014027917
usa,age,monthly,ew,-1,571,83,1927-11-30,-0.021223429
usa,age,monthly,ew,-1,571,86,1927-12-31,-0.013908682
usa,age,monthly,ew,-1,577,93,1928-01-31,-0.010529506
usa,age,monthly,ew,-1,576,93,1928-02-29,0.01760758
usa,age,monthly,ew,-1,576,92,1928-03-31,0.018421369
usa,age,monthly,ew,-1,574,91,1928-04-30,-0.007350185
usa,age,monthly,ew,-1,577,93,1928-05-31,-0.00484816
usa,age,monthly,ew,-1,577,95,1928-06-30,-0.025853028
usa,age,monthly,ew,-1,578,99,1928-07-31,0.015707247
usa,age,monthly,ew,-1,587,106,1928-08-31,-0.019722028
usa,age,monthly,ew,-1,590,110,1928-09-30,-0.000751871
usa,age,monthly,ew,-1,596,117,1928-10-31,0.021103635
usa,age,monthly,ew,-1,601,121,1928-11-30,-0.023304702
usa,age,monthly,ew,-1,604,127,1928-12-31,0.000505538
usa,age,monthly,ew,-1,610,137,1929-01-31,-0.001741371
usa,age,monthly,ew,-1,613,141,1929-02-28,-0.013545497
usa,age,monthly,ew,-1,618,148,1929-03-31,-0.020398485
usa,age,monthly,ew,-1,624,152,1929-04-30,0.006187668
usa,age,monthly,ew,-1,639,165,1929-05-31,-0.000720254
usa,age,monthly,ew,-1,650,180,1929-06-30,-0.011649889
usa,age,monthly,ew,-1,654,184,1929-07-31,0.00519763
usa,age,monthly,ew,-1,663,194,1929-08-31,-0.012296462
usa,age,monthly,ew,-1,674,206,1929-09-30,0.00333378
usa,age,monthly,ew,-1,650,194,1929-10-31,-0.044709452
usa,age,monthly,ew,-1,651,201,1929-11-30,-0.03597006
usa,age,monthly,ew,-1,668,207,1929-12-31,-0.007304988
usa,age,monthly,ew,-1,681,214,1930-01-31,0.002514654
usa,age,monthly,ew,-1,683,218,1930-02-28,0.000968433
usa,age,monthly,ew,-1,680,213,1930-03-31,-0.000362919
usa,age,monthly,ew,-1,689,220,1930-04-30,0.025925489
usa,age,monthly,ew,-1,682,220,1930-05-31,-0.01485755
